"Antwort ID";"Datum Abgeschickt";"Letzte Seite";"Start-Sprache";"Zufallsgeneratorstartwert";"Datum gestartet";"Datum letzte Aktivität";"Wie alt sind Sie? []";"Sind Sie wahlberechtigt? []";"Wenn am Sonntag Bundestagswahl wäre, welche Partei würden Sie wählen? []";"Sagt ihnen das  Schengenabkommen etwas?     []";"Sind Sie mit dem Schengenabkommen einverstanden? []";"Wenn Sie könnten, würden Sie es nur verändern oder komplett abschaffen? []"
"3";"2025-02-07 10:07:02";"1";"de";"793009532";"2025-02-07 10:06:49";"2025-02-07 10:07:02";"<18";"Nein";"Andere";"Ja";"Ja";""
"4";"2025-02-07 10:08:46";"1";"de";"1871099112";"2025-02-07 10:08:02";"2025-02-07 10:08:46";"<18";"Nein";"Die Grünen";"Ja";"Ja";""
"5";"2025-02-07 10:10:18";"1";"de";"1914685451";"2025-02-07 10:10:10";"2025-02-07 10:10:18";"<18";"Nein";"SPD";"Ja";"Ja";""
"6";"2025-02-07 11:05:11";"1";"de";"1581489439";"2025-02-07 11:04:44";"2025-02-07 11:05:11";"36-50";"Ja";"Die Grünen";"Nein";"";""
"7";"2025-02-07 11:08:17";"1";"de";"359397662";"2025-02-07 11:05:37";"2025-02-07 11:08:17";"50-60";"Ja";"Die Grünen";"Ja";"Nein";"Nur verändern"
"8";"2025-02-07 11:08:35";"1";"de";"203844417";"2025-02-07 11:08:09";"2025-02-07 11:08:35";"50-60";"Ja";"SPD";"Ja";"Ja";""
"9";"2025-02-07 11:12:32";"1";"de";"1185975365";"2025-02-07 11:12:16";"2025-02-07 11:12:32";"<18";"Nein";"Die Grünen";"Ja";"Ja";""
"10";"2025-02-07 11:12:37";"1";"de";"844936980";"2025-02-07 11:12:16";"2025-02-07 11:12:37";"<18";"Nein";"SPD";"Nein";"";""
"11";"2025-02-07 11:12:40";"1";"de";"2090187602";"2025-02-07 11:12:29";"2025-02-07 11:12:40";"<18";"Nein";"CDU/CSU";"Nein";"";""
"12";"2025-02-07 11:13:06";"1";"de";"1221161074";"2025-02-07 11:12:30";"2025-02-07 11:13:06";"<18";"Nein";"SPD";"Ja";"Ja";""
"13";"2025-02-07 11:13:12";"1";"de";"1519591689";"2025-02-07 11:12:55";"2025-02-07 11:13:12";"<18";"Nein";"Andere";"Nein";"";""
"14";"2025-02-07 11:14:26";"1";"de";"182624574";"2025-02-07 11:14:11";"2025-02-07 11:14:26";"26-35";"Ja";"Die Grünen";"Ja";"Ja";""
"15";"";"0";"de";"2026858538";"2025-02-07 11:15:37";"2025-02-07 11:15:37";"";"";"";"";"";""
"16";"2025-02-07 11:17:48";"1";"de";"398288013";"2025-02-07 11:15:56";"2025-02-07 11:17:48";"<18";"Nein";"CDU/CSU";"Ja";"Ja";""
"17";"2025-02-07 11:20:09";"1";"de";"1111608087";"2025-02-07 11:19:38";"2025-02-07 11:20:09";"26-35";"Ja";"CDU/CSU";"Nein";"";""
"18";"2025-02-07 11:20:15";"1";"de";"390860970";"2025-02-07 11:19:52";"2025-02-07 11:20:15";"<18";"Nein";"Die Grünen";"Ja";"Ja";""
"19";"2025-02-07 11:20:33";"1";"de";"1353011995";"2025-02-07 11:19:58";"2025-02-07 11:20:33";"<18";"Nein";"CDU/CSU";"Nein";"";""
"20";"2025-02-07 11:25:06";"1";"de";"652752647";"2025-02-07 11:20:27";"2025-02-07 11:25:06";"<18";"Nein";"Andere";"Nein";"";""
"21";"2025-02-07 11:20:48";"1";"de";"158543707";"2025-02-07 11:20:28";"2025-02-07 11:20:48";"26-35";"Ja";"SPD";"Ja";"Ja";""
"22";"2025-02-07 11:36:34";"1";"de";"2005653012";"2025-02-07 11:20:49";"2025-02-07 11:36:34";"60+";"Ja";"Andere";"Nein";"";""
"23";"2025-02-07 11:23:11";"1";"de";"3054379";"2025-02-07 11:22:25";"2025-02-07 11:23:11";"18-25";"Ja";"Die Grünen";"Nein";"";""
"24";"";"0";"de";"1993385705";"2025-02-07 11:23:52";"2025-02-07 11:23:52";"";"";"";"";"";""
"25";"2025-02-07 11:27:39";"1";"de";"223650004";"2025-02-07 11:26:52";"2025-02-07 11:27:39";"<18";"Nein";"Andere";"Ja";"Ja";""
"26";"2025-02-07 11:30:53";"1";"de";"284378506";"2025-02-07 11:30:38";"2025-02-07 11:30:53";"50-60";"Ja";"Die Grünen";"Ja";"Ja";""
"27";"2025-02-07 11:37:05";"1";"de";"1959856872";"2025-02-07 11:36:53";"2025-02-07 11:37:05";"36-50";"Ja";"Andere";"Ja";"Ja";""
"28";"2025-02-07 11:46:57";"1";"de";"1341782270";"2025-02-07 11:45:37";"2025-02-07 11:46:57";"<18";"Nein";"Die Linke";"Ja";"Nein";"Nur verändern"
"29";"2025-02-07 11:46:10";"1";"de";"710675927";"2025-02-07 11:45:42";"2025-02-07 11:46:10";"<18";"Nein";"Die Linke";"Nein";"";""
"30";"2025-02-07 11:46:00";"1";"de";"344610367";"2025-02-07 11:45:42";"2025-02-07 11:46:00";"<18";"Nein";"AfD";"Nein";"";""
"31";"2025-02-07 11:47:42";"1";"de";"644466928";"2025-02-07 11:45:44";"2025-02-07 11:47:42";"<18";"Nein";"Die Linke";"Ja";"Ja";""
"32";"2025-02-07 11:48:07";"1";"de";"544707276";"2025-02-07 11:45:45";"2025-02-07 11:48:07";"<18";"Nein";"Die Grünen";"Ja";"Ja";""
"33";"2025-02-07 11:46:29";"1";"de";"1797728435";"2025-02-07 11:45:54";"2025-02-07 11:46:29";"<18";"Nein";"Die Linke";"Nein";"";""
"34";"2025-02-07 11:46:48";"1";"de";"1037855601";"2025-02-07 11:46:03";"2025-02-07 11:46:48";"<18";"Nein";"Die Linke";"Nein";"";""
"35";"2025-02-07 11:51:09";"1";"de";"1688537536";"2025-02-07 11:46:22";"2025-02-07 11:51:09";"<18";"Nein";"CDU/CSU";"Ja";"Ja";""
"36";"2025-02-07 11:57:19";"1";"de";"1559293277";"2025-02-07 11:46:27";"2025-02-07 11:57:19";"<18";"Nein";"Andere";"Nein";"";""
"37";"2025-02-07 11:47:21";"1";"de";"507111548";"2025-02-07 11:46:40";"2025-02-07 11:47:21";"<18";"Nein";"Die Linke";"Ja";"Ja";""
"38";"";"0";"de";"1862105225";"2025-02-07 11:46:57";"2025-02-07 11:46:57";"";"";"";"";"";""
"39";"2025-02-07 11:47:49";"1";"de";"606212679";"2025-02-07 11:47:08";"2025-02-07 11:47:49";"<18";"Nein";"Die Linke";"Nein";"";""
"40";"2025-02-07 12:14:34";"1";"de";"1950133917";"2025-02-07 11:47:11";"2025-02-07 12:14:34";"<18";"Nein";"SPD";"Nein";"";""
"41";"2025-02-07 11:48:07";"1";"de";"823644227";"2025-02-07 11:47:28";"2025-02-07 11:48:07";"<18";"Nein";"CDU/CSU";"Nein";"";""
"42";"2025-02-07 11:47:56";"1";"de";"213788386";"2025-02-07 11:47:41";"2025-02-07 11:47:56";"<18";"Nein";"CDU/CSU";"Nein";"";""
"43";"2025-02-07 11:48:33";"1";"de";"807500392";"2025-02-07 11:47:54";"2025-02-07 11:48:33";"<18";"Nein";"CDU/CSU";"Nein";"";""
"44";"";"0";"de";"1142852020";"2025-02-07 11:47:59";"2025-02-07 11:48:01";"";"";"";"";"";""
"45";"2025-02-07 11:48:18";"1";"de";"649927527";"2025-02-07 11:48:01";"2025-02-07 11:48:18";"18-25";"Ja";"AfD";"Nein";"";""
"46";"2025-02-07 11:48:46";"1";"de";"1062807213";"2025-02-07 11:48:12";"2025-02-07 11:48:46";"<18";"Nein";"SPD";"Nein";"";""
"47";"2025-02-07 11:49:27";"1";"de";"135672326";"2025-02-07 11:48:32";"2025-02-07 11:49:27";"<18";"Nein";"Andere";"Nein";"";""
"48";"2025-02-07 11:49:47";"1";"de";"106186080";"2025-02-07 11:49:23";"2025-02-07 11:49:47";"<18";"Nein";"CDU/CSU";"Ja";"Ja";""
"49";"2025-02-07 11:49:50";"1";"de";"1186667153";"2025-02-07 11:49:39";"2025-02-07 11:49:50";"<18";"Nein";"CDU/CSU";"Ja";"Ja";""
"50";"2025-02-07 11:51:16";"1";"de";"777133251";"2025-02-07 11:50:57";"2025-02-07 11:51:16";"<18";"Nein";"CDU/CSU";"Ja";"Ja";""
"51";"";"0";"de";"1876902781";"2025-02-07 11:52:00";"2025-02-07 11:52:00";"";"";"";"";"";""
"52";"2025-02-07 11:53:27";"1";"de";"993378631";"2025-02-07 11:52:01";"2025-02-07 11:53:27";"<18";"Nein";"Die Grünen";"Ja";"Ja";""
"53";"2025-02-07 11:53:06";"1";"de";"826659685";"2025-02-07 11:52:20";"2025-02-07 11:53:06";"<18";"Nein";"CDU/CSU";"Ja";"Ja";""
"54";"2025-02-07 11:53:06";"1";"de";"135271833";"2025-02-07 11:52:34";"2025-02-07 11:53:06";"18-25";"Ja";"Die Grünen";"Ja";"Ja";""
"55";"2025-02-07 11:53:49";"1";"de";"1739454251";"2025-02-07 11:52:53";"2025-02-07 11:53:49";"18-25";"Ja";"Die Linke";"Ja";"Ja";""
"56";"2025-02-07 11:53:35";"1";"de";"62502401";"2025-02-07 11:52:55";"2025-02-07 11:53:35";"<18";"Nein";"CDU/CSU";"Ja";"Ja";""
"57";"2025-02-07 11:57:02";"1";"de";"417819260";"2025-02-07 11:54:05";"2025-02-07 11:57:02";"<18";"Nein";"Die Grünen";"Nein";"";""
"58";"2025-02-07 11:55:40";"1";"de";"435747782";"2025-02-07 11:54:20";"2025-02-07 11:55:40";"<18";"Nein";"CDU/CSU";"Nein";"";""
"59";"2025-02-07 11:56:19";"1";"de";"2013542290";"2025-02-07 11:55:19";"2025-02-07 11:56:19";"<18";"Nein";"CDU/CSU";"Nein";"";""
"60";"2025-02-07 11:56:08";"1";"de";"2084644218";"2025-02-07 11:55:29";"2025-02-07 11:56:07";"<18";"Nein";"Die Linke";"Nein";"";""
"61";"2025-02-07 11:56:25";"1";"de";"1343056986";"2025-02-07 11:56:13";"2025-02-07 11:56:25";"<18";"Nein";"Die Linke";"Nein";"";""
"62";"2025-02-07 12:00:11";"1";"de";"879450535";"2025-02-07 11:58:11";"2025-02-07 12:00:11";"<18";"Nein";"Die Grünen";"Nein";"";""
"63";"2025-02-07 12:03:37";"1";"de";"1134638840";"2025-02-07 12:03:21";"2025-02-07 12:03:37";"<18";"Nein";"CDU/CSU";"Ja";"Ja";""
"64";"";"0";"de";"955751588";"2025-02-07 12:04:45";"2025-02-07 12:04:45";"";"";"";"";"";""
"65";"2025-02-07 12:06:04";"1";"de";"219874606";"2025-02-07 12:05:50";"2025-02-07 12:06:04";"<18";"Nein";"AfD";"Nein";"";""
"66";"2025-02-07 12:16:24";"1";"de";"272990860";"2025-02-07 12:16:13";"2025-02-07 12:16:24";"<18";"Nein";"SPD";"Nein";"";""
"67";"2025-02-07 12:28:27";"1";"de";"449394530";"2025-02-07 12:28:13";"2025-02-07 12:28:27";"26-35";"Ja";"FDP";"Ja";"Ja";""
"68";"2025-02-07 12:30:42";"1";"de";"292757325";"2025-02-07 12:30:22";"2025-02-07 12:30:42";"60+";"Ja";"Die Grünen";"Ja";"Ja";""
"69";"2025-02-07 12:33:32";"1";"de";"593304361";"2025-02-07 12:33:12";"2025-02-07 12:33:32";"60+";"Nein";"AfD";"Nein";"";""
"70";"2025-02-07 12:35:12";"1";"de";"1336458247";"2025-02-07 12:34:18";"2025-02-07 12:35:12";"<18";"Nein";"AfD";"Ja";"Ja";""
"71";"2025-02-07 12:38:52";"1";"de";"1743855642";"2025-02-07 12:38:19";"2025-02-07 12:38:52";"60+";"Nein";"AfD";"Ja";"Nein";"Komplett abschaffen"
"72";"";"0";"de";"1566303210";"2025-02-07 12:38:56";"2025-02-07 12:38:56";"";"";"";"";"";""
"73";"";"0";"de";"2077681730";"2025-02-07 12:40:26";"2025-02-07 12:40:26";"";"";"";"";"";""
"74";"";"0";"de";"1393142087";"2025-02-07 12:41:05";"2025-02-07 12:41:05";"";"";"";"";"";""
"75";"2025-02-07 13:01:38";"1";"de";"820545281";"2025-02-07 12:42:26";"2025-02-07 13:01:38";"<18";"Nein";"SPD";"Ja";"Ja";""
"76";"2025-02-07 12:47:16";"1";"de";"579193762";"2025-02-07 12:47:03";"2025-02-07 12:47:16";"<18";"Nein";"Andere";"Ja";"Ja";""
"77";"2025-02-07 12:49:02";"1";"de";"740659135";"2025-02-07 12:48:49";"2025-02-07 12:49:02";"<18";"Nein";"CDU/CSU";"Ja";"Ja";""
"78";"2025-02-07 12:56:21";"1";"de";"1841713060";"2025-02-07 12:55:58";"2025-02-07 12:56:21";"<18";"Nein";"Die Grünen";"Ja";"Ja";""
"79";"";"0";"de";"165280136";"2025-02-07 13:01:42";"2025-02-07 13:01:42";"";"";"";"";"";""
"80";"2025-02-07 13:09:35";"1";"de";"2065936554";"2025-02-07 13:09:20";"2025-02-07 13:09:35";"50-60";"Ja";"CDU/CSU";"Ja";"Ja";""
"81";"2025-02-07 13:09:50";"1";"de";"1510899465";"2025-02-07 13:09:31";"2025-02-07 13:09:50";"<18";"Nein";"BSW";"Nein";"";""
"82";"2025-02-07 13:10:23";"1";"de";"1280856467";"2025-02-07 13:09:50";"2025-02-07 13:10:23";"<18";"Nein";"Die Grünen";"Nein";"";""
"83";"2025-02-07 13:20:29";"1";"de";"518853470";"2025-02-07 13:19:53";"2025-02-07 13:20:29";"18-25";"Ja";"Andere";"Ja";"Ja";""
"84";"2025-02-07 13:23:52";"1";"de";"1128304492";"2025-02-07 13:23:25";"2025-02-07 13:23:52";"36-50";"Ja";"Die Grünen";"Ja";"Ja";""
"85";"2025-02-07 13:30:08";"1";"de";"1106109204";"2025-02-07 13:28:55";"2025-02-07 13:30:08";"60+";"Ja";"CDU/CSU";"Ja";"Nein";"Nur verändern"
"86";"2025-02-07 13:38:23";"1";"de";"294189352";"2025-02-07 13:36:34";"2025-02-07 13:38:23";"50-60";"Ja";"SPD";"Ja";"Ja";""
"87";"2025-02-07 13:46:34";"1";"de";"2034073680";"2025-02-07 13:45:53";"2025-02-07 13:46:34";"<18";"Nein";"CDU/CSU";"Nein";"";""
"88";"2025-02-07 13:47:02";"1";"de";"1798377199";"2025-02-07 13:46:09";"2025-02-07 13:47:02";"<18";"Nein";"FDP";"Nein";"";""
"89";"";"0";"de";"3098130";"2025-02-07 13:47:15";"2025-02-07 13:47:15";"";"";"";"";"";""
"90";"2025-02-07 13:47:54";"1";"de";"1731673763";"2025-02-07 13:47:33";"2025-02-07 13:47:54";"36-50";"Ja";"CDU/CSU";"Ja";"Ja";""
"91";"2025-02-07 14:05:56";"1";"de";"686434895";"2025-02-07 14:02:13";"2025-02-07 14:05:56";"<18";"Nein";"Die Grünen";"Nein";"";""
"92";"2025-02-07 14:02:50";"1";"de";"162911292";"2025-02-07 14:02:38";"2025-02-07 14:02:50";"50-60";"Ja";"Die Grünen";"Ja";"Ja";""
"93";"2025-02-07 14:28:06";"1";"de";"1683941991";"2025-02-07 14:27:51";"2025-02-07 14:28:06";"60+";"Ja";"CDU/CSU";"Ja";"Ja";""
"94";"2025-02-07 14:39:11";"1";"de";"83783368";"2025-02-07 14:38:38";"2025-02-07 14:39:11";"60+";"Ja";"CDU/CSU";"Ja";"Nein";"Nur verändern"
"95";"";"0";"de";"735810720";"2025-02-07 14:39:19";"2025-02-07 14:39:19";"";"";"";"";"";""
"96";"2025-02-07 14:58:48";"1";"de";"1178151045";"2025-02-07 14:58:33";"2025-02-07 14:58:48";"60+";"Nein";"AfD";"Ja";"Nein";"Komplett abschaffen"
"97";"2025-02-07 15:52:05";"1";"de";"522588183";"2025-02-07 15:51:38";"2025-02-07 15:52:05";"50-60";"Ja";"Die Grünen";"Ja";"Ja";""
"98";"";"0";"de";"1721276036";"2025-02-07 15:51:54";"2025-02-07 15:51:54";"";"";"";"";"";""
"99";"2025-02-07 16:57:11";"1";"de";"2020476759";"2025-02-07 16:55:25";"2025-02-07 16:57:11";"36-50";"Nein";"Die Grünen";"Ja";"Ja";""
"100";"2025-02-07 16:56:58";"1";"de";"1365056953";"2025-02-07 16:56:14";"2025-02-07 16:56:58";"36-50";"Ja";"Die Grünen";"Ja";"Ja";""
"101";"";"0";"de";"1079208667";"2025-02-07 17:04:07";"2025-02-07 17:04:07";"";"";"";"";"";""
"102";"2025-02-07 17:24:45";"1";"de";"340820249";"2025-02-07 17:24:27";"2025-02-07 17:24:45";"18-25";"Ja";"Die Linke";"Ja";"Ja";""
"103";"2025-02-07 17:24:48";"1";"de";"1278148860";"2025-02-07 17:24:31";"2025-02-07 17:24:48";"<18";"Nein";"CDU/CSU";"Nein";"";""
"104";"2025-02-07 17:52:41";"1";"de";"907640669";"2025-02-07 17:52:17";"2025-02-07 17:52:41";"50-60";"Ja";"SPD";"Nein";"";""
"105";"2025-02-07 19:07:40";"1";"de";"709937165";"2025-02-07 19:07:18";"2025-02-07 19:07:40";"18-25";"Ja";"Andere";"Nein";"";""
"107";"2025-02-07 19:52:09";"1";"de";"2064254722";"2025-02-07 19:51:43";"2025-02-07 19:52:09";"36-50";"Ja";"CDU/CSU";"Ja";"Ja";""
"108";"2025-02-08 00:37:55";"1";"de";"365827531";"2025-02-08 00:36:09";"2025-02-08 00:37:55";"50-60";"Ja";"AfD";"Ja";"Nein";"Nur verändern"
"109";"2025-02-08 06:04:30";"1";"de";"613832609";"2025-02-08 06:03:58";"2025-02-08 06:04:30";"36-50";"Ja";"SPD";"Ja";"Ja";""
"110";"";"0";"de";"1963586815";"2025-02-08 09:41:55";"2025-02-08 09:41:55";"";"";"";"";"";""
"111";"2025-02-08 09:58:34";"1";"de";"967471961";"2025-02-08 09:57:16";"2025-02-08 09:58:34";"60+";"Ja";"FDP";"Nein";"";""
"112";"2025-02-08 10:18:59";"1";"de";"1476233487";"2025-02-08 10:18:01";"2025-02-08 10:18:59";"60+";"Ja";"Andere";"Ja";"Ja";""
"113";"";"0";"de";"308050448";"2025-02-08 11:06:15";"2025-02-08 11:06:15";"";"";"";"";"";""
"114";"";"0";"de";"925602222";"2025-02-08 11:06:28";"2025-02-08 11:06:28";"";"";"";"";"";""
"115";"";"0";"de";"1394270427";"2025-02-08 11:07:34";"2025-02-08 11:07:34";"";"";"";"";"";""
"116";"";"0";"de";"474962940";"2025-02-08 11:08:37";"2025-02-08 11:08:37";"";"";"";"";"";""
"117";"";"0";"de";"1626048818";"2025-02-08 11:10:29";"2025-02-08 11:10:29";"";"";"";"";"";""
"118";"2025-02-08 11:10:50";"1";"de";"1304908164";"2025-02-08 11:10:34";"2025-02-08 11:10:50";"36-50";"Ja";"Die Grünen";"Ja";"Ja";""
"119";"";"0";"de";"623386009";"2025-02-08 11:11:53";"2025-02-08 11:11:53";"";"";"";"";"";""
"120";"";"0";"de";"736556954";"2025-02-08 11:12:11";"2025-02-08 11:12:11";"";"";"";"";"";""
"121";"";"0";"de";"814857329";"2025-02-08 11:15:41";"2025-02-08 11:15:41";"";"";"";"";"";""
"122";"";"0";"de";"219910689";"2025-02-08 11:16:43";"2025-02-08 11:16:43";"";"";"";"";"";""
"123";"";"0";"de";"116021201";"2025-02-08 11:20:24";"2025-02-08 11:20:24";"";"";"";"";"";""
"124";"";"0";"de";"1571844992";"2025-02-08 11:20:56";"2025-02-08 11:20:56";"";"";"";"";"";""
"125";"";"0";"de";"1468265932";"2025-02-08 11:26:39";"2025-02-08 11:26:39";"";"";"";"";"";""
"126";"";"0";"de";"1408662794";"2025-02-08 11:30:40";"2025-02-08 11:30:40";"";"";"";"";"";""
"127";"";"0";"de";"735603311";"2025-02-08 11:32:56";"2025-02-08 11:32:56";"";"";"";"";"";""
"128";"2025-02-08 11:34:30";"1";"de";"1678614914";"2025-02-08 11:34:28";"2025-02-08 11:34:30";"60+";"Nein";"Andere";"Ja";"Nein";"Komplett abschaffen"
"129";"2025-02-08 11:35:30";"1";"de";"1270306998";"2025-02-08 11:35:28";"2025-02-08 11:35:30";"60+";"Nein";"Andere";"Ja";"Nein";"Komplett abschaffen"
"130";"2025-02-08 12:03:36";"1";"de";"543880770";"2025-02-08 12:03:34";"2025-02-08 12:03:36";"60+";"Nein";"Andere";"Ja";"Nein";"Komplett abschaffen"
"131";"2025-02-08 12:05:37";"1";"de";"771350978";"2025-02-08 12:05:35";"2025-02-08 12:05:37";"60+";"Nein";"Andere";"Ja";"Nein";"Komplett abschaffen"
"132";"2025-02-08 12:06:31";"1";"de";"1697701145";"2025-02-08 12:06:29";"2025-02-08 12:06:31";"60+";"Nein";"Andere";"Ja";"Nein";"Komplett abschaffen"
"133";"2025-02-08 14:27:50";"1";"de";"1238523975";"2025-02-08 14:27:48";"2025-02-08 14:27:50";"60+";"Nein";"Andere";"Ja";"Nein";"Komplett abschaffen"
